species,sal_adapt,sal_exp,time,repl,id,m63_cor_n_m,m64_n_m,m65_n_m,conc_n_m,mp64_rt,d3_p_in_fraction_n_m_m66,d3_p_taken_up,up_dmspp,d3_p_lost_demethylated,x12c_dic_18,x13c_dic_19,x13c_sample_20,x13c_added,p_12c,q_13c,probability_13c_dms,rm,u_dmsp_h_1,vol_filtered_m_l,x12c_dic_29,x13c_dic_30,x13c_sample_31,x12c_poc_mg,x13c_poc_mg,x13_12c_poc,u_poc_h_1,total_poc_mg_l,dmsp_c_poc_mol_mol,dms_puptake_c_poc_mol_mol,dmsp_uptake_of_total_dmsp,u_dmsp_u_poc,yield,cell_dens_avr,cell_size_avr,salinity,diff_sal
Chryso,25,NA,0,A,DMS,23.72153817388422,0.7042790074507705,1.2231173041243646,25.648934485459357,2.745841188256898,-0.02372153817388422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chryso,25,NA,0,B,DMS,42.33934904920176,1.2751089941706275,2.0514754657893053,45.66593350916169,2.7922543046553727,0.052910753996464936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chryso,25,NA,0,C,DMS,8.577116843903692,0.0536257874473594,0.18665310246909045,8.817395733820142,0.6081817020151594,0.2355878220076622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chryso,25,NA,0,C,DMS,6.460222473503922,0.21196693730706517,0.257719441498014,6.929908852309001,3.058726194305415,0.11828647659058411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chryso,25,NA,0,A,DMS(P)t,2412.3468998128865,63.33004075072676,101.02383087428463,2576.700771437898,2.4577956995521126,-0.1308483588956344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,0.18717966836088878,0.0020867519619871084,1.1025473818478992,NA,6.308880677429197,2.4505463677476396,NA,NA,NA,0.592,318666.6666666667,5.841666666666666,NA,NA
Chryso,25,NA,0,B,DMS(P)t,2259.523748059925,62.35806090202656,96.86630592453481,2418.7481148864863,2.5781130543621353,-0.5615911781961429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,0.1904871891491889,0.0021256849915288895,1.1036048348335847,NA,6.420429138023928,2.260361165482087,NA,NA,NA,0.625,196500,5.283333333333334,NA,NA
Chryso,25,NA,0,C,DMS(P)t,3198.713306118116,83.97305992501421,132.3276400379456,3415.014006081076,2.4589374970493343,-0.3057235559290592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,0.21248676754104107,0.002354439056688283,1.095897334581981,NA,7.161373553257645,2.861194697372782,NA,NA,NA,0.613,370000,4.55,NA,NA
Chryso,25,NA,0,A,DMSPd,129.88243117648247,3.97476791060373,5.803071354970483,139.66027044205669,2.8460262163482004,7.635197511436931e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chryso,25,NA,0,B,DMSPd,270.80073066635003,8.222942017993843,11.987922266473037,291.0115949508169,2.825640682593276,-0.022575220358626857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chryso,25,NA,0,C,DMSPd,208.37155114774387,6.118735709983516,9.544867327352122,224.03515418507953,2.731149819875463,0.01168984641035517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
