species,sal_adapt,sal_exp,time,repl,id,m63_cor_n_m,m64_n_m,m65_n_m,conc_n_m,mp64_rt,d3_p_in_fraction_n_m_m66,d3_p_taken_up,up_dmspp,d3_p_lost_demethylated,x12c_dic_18,x13c_dic_19,x13c_sample_20,x13c_added,p_12c,q_13c,probability_13c_dms,rm,u_dmsp_h_1,vol_filtered_m_l,x12c_dic_29,x13c_dic_30,x13c_sample_31,x12c_poc_mg,x13c_poc_mg,x13_12c_poc,u_poc_h_1,total_poc_mg_l,dmsp_c_poc_mol_mol,dms_puptake_c_poc_mol_mol,dmsp_uptake_of_total_dmsp,u_dmsp_u_poc,yield,cell_dens_avr,number_of_cells,dmsp_content_per_cell_m_m,cell_size_avr,salinity,diff_sal
Polarella,25,NA,0,A,DMS,0.4177210856606562,0.06608995251088605,0.011296056188961066,0.4951070943605033,13.348617554400027,0.05041047143746977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polarella,25,NA,0,B,DMS,0.5977014881084197,0.07337991998008715,0.04095158467329277,0.7120329927617997,10.30569098988863,-0.0446399152697259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polarella,25,NA,0,C,DMS,0.650217930775933,0.01721349372396186,0.12327648857959933,0.7907079130794943,2.176972487466594,-0.03807856418057429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polarella,25,NA,0,A,DMS(P)t,1061.6733767181663,30.3174551297734,48.593169915551556,1140.5840017634912,2.658064209466262,-0.11355011782310842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,0.22798856886915542,0.002519198262935483,1.0928908358614544,NA,7.683592237736363,NA,NA,NA,NA,0.614,37633.333333333336,6774000,NA,8.736666666666666,NA,NA
Polarella,25,NA,0,B,DMS(P)t,1036.401015895503,29.901984649346602,47.24135799134537,1113.544358536195,2.6852980233902963,-0.10148918667912288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,0.19784473720083348,0.002164045490837569,1.0819752321444862,NA,6.666959423055702,NA,NA,NA,NA,0.631,54716.666666666664,9849000,NA,10.118333333333332,NA,NA
Polarella,25,NA,0,C,DMS(P)t,997.8635276624592,28.61969553348092,44.341026245557835,1070.824249441498,2.6726790645998055,-0.07503389758925183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,0.22016192673949875,0.0063955502327121185,NA,NA,7.551915899073696,NA,NA,NA,NA,0.614,48323.246414609275,8698184.35462967,NA,9.513333333333334,NA,NA
Polarella,25,NA,0,A,DMSPd,8.27380483427854,0.2240780915397037,0.5732463808613256,9.07112930667957,2.47023368275329,-0.009455286001849573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polarella,25,NA,0,B,DMSPd,17.140480010675777,0.49769105932522634,0.8412321987856319,18.479403268786637,2.693220403744698,0.005544205273958484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polarella,25,NA,0,C,DMSPd,76.32320196424635,2.2963701556198517,3.6558924443048757,82.27546456417109,2.7910752832380403,0.05666412284888439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polarella,25,25,24,A,DMS,1.050568881697052,0.024459286932435022,-0.2662403127153397,0.8087878559141473,3.0241906766502407,6.174943369746778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011638446095427826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
